Carimbo de data/hora,Com que frequência costuma jogar games?,Idade (anos):,Gênero:,Estado de residência?,Situação atual,Grau de escolaridade,Qual plataforma prefere usar para jogar?,"Você conhece os componentes do seu computador (Processador, Placa de Vídeo e Memória RAM) ?",Quantos Gigabytes de memória RAM?,Qual a marca do seu processador?,Qual o modelo do processador?,Qual a marca da sua placa de Vídeo?,Qual o modelo da sua placa de vídeo?,Quantos Gigabytes possui sua placa de video?,A maioria das suas peças foram compradas em:,Qual console você possui?,O seu console mais recente foi comprado em:,Qual seu estilo de jogo favorito?,Qual seu jogo preferido?,"Em média, quanto costuma gastar mensalmente com jogos?"
23/06/2019 11:45:28,Regularmente,24,Homem,Minas Gerais – MG,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,AMD,Ryzen 5 1600x,Nvidia,GTX 1060,6 GB,Loja virtual,,,"Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG",WOW,R$1 a R$50
23/06/2019 11:46:25,Frequentemente,26,Homem,São Paulo – SP,Só Trabalha,Ensino Superior Incompleto,Console (video game),,,,,,,,,"Playstation 3, Playstation 4",Loja virtual,"FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação",Kingdom Hearts 2,R$1 a R$50
23/06/2019 11:50:23,Frequentemente,24,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i5 4200M,Nvidia,GT 730M,1 GB,Loja virtual,,,RPG/MMORPG,World of Warcraft,R$1 a R$50
23/06/2019 11:52:39,Frequentemente,20,Homem,Espírito Santo – ES,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,Intel,i7 8700,Nvidia,gtx 1070,8 GB,Loja virtual,,,"FPS/TPS, MOBA, RPG/MMORPG",Sekiro ,Nada
23/06/2019 11:57:18,Regularmente,24,Homem,Bahia – BA,Estuda e Trabalha,Ensino Superior Incompleto,Notebook,Sim,8 GB,Intel,I5 8400,Nvidia,MX 130,2 GB,Loja virtual,,,"MOBA, RPG/MMORPG",Diablo 3,R$1 a R$50
23/06/2019 12:05:43,Frequentemente,18,Homem,São Paulo – SP,Não Estuda e Não Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,AMD Radeon R7,AMD,AMD Radeon HD 7700,1 GB,Loja física,,,RPG/MMORPG,World of Warcraft ,R$1 a R$50
23/06/2019 12:07:15,Regularmente,41,Homem,Distrito Federal – DF,Só Trabalha,Ensino Superior Completo,Notebook,Não,,,,,,,,,,RPG/MMORPG,Wow,R$1 a R$50
23/06/2019 12:21:43,Regularmente,21,Homem,Mato Grosso – MT,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,4 GB,AMD,A6-3500 APU,AMD,Radeon HD 6530D,1 GB,Loja física,,,"Aventura, Corrida, RPG/MMORPG, Simulação, Terror",Uncharted,mais de R$200
23/06/2019 12:33:26,Frequentemente,19,Homem,Ceará – CE,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Amd 2200g,AMD,Rx 570,4 GB,Loja virtual,,,"Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência",Wow,R$51 a R$100
23/06/2019 12:43:04,Frequentemente,24,Homem,São Paulo – SP,Só Estuda,Ensino Superior Completo,Desktop (PC de mesa),Não,,,,,,,,,,"ARCADE, Aventura, FPS/TPS, MOBA, RPG/MMORPG, Estratégia",Overwatch,R$1 a R$50
23/06/2019 12:46:04,Frequentemente,28,Homem,São Paulo – SP,Só Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I3,AMD,Rx 6770,2 GB,Loja virtual,,,RPG/MMORPG,Wow ,R$1 a R$50
23/06/2019 12:49:56,Frequentemente,24,Homem,Santa Catarina – SC,Só Estuda,Ensino Superior Incompleto,Console (video game),,,,,,,,,Nintendo Switch e Nintendo 3DS,Loja física,"Aventura, Luta, Mundo Aberto, RPG/MMORPG",Pokémon,R$151 a R$200
23/06/2019 13:00:13,Regularmente,26,Homem,Minas Gerais – MG,Só Estuda,Ensino Superior Completo,Notebook,Não,,,,,,,,,,"ARCADE, Aventura, Luta, MOBA, Mundo Aberto, RPG/MMORPG",WoW ,R$51 a R$100
23/06/2019 13:02:28,Regularmente,22,Homem,Ceará – CE,Só Trabalha,Ensino Superior Completo,Notebook,Sim,8 GB,Intel,i5 4 geração ,Nvidia,intel gráficos ,2 GB,Loja física,,,"Aventura, Corrida, Mundo Aberto, RPG/MMORPG","offline Final fantasy, online WoWzin",R$1 a R$50
23/06/2019 13:07:26,Frequentemente,23,Homem,Goiás – GO,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Não,,,,,,,,,,"FPS/TPS, MOBA, RPG/MMORPG",World of Warcraft,R$1 a R$50
23/06/2019 13:07:28,Frequentemente,18,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,2 GB,Intel,i3 2100,Nvidia,integrada a placa mae,1 GB,Loja física,,,"FPS/TPS, MOBA, RPG/MMORPG, Sobrevivência",League Of Legends,R$51 a R$100
23/06/2019 13:23:21,Frequentemente,20,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,AMD FX 8320,AMD,AMD R7 370,4 GB,Loja virtual,,,"Aventura, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Hearthstone,R$1 a R$50
23/06/2019 13:25:15,Frequentemente,20,Homem,Paraná – PR,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Não,,,,,,,,,,"Aventura, FPS/TPS, RPG/MMORPG, Sobrevivência",Overwatch / Hearthstone / World of Warcraft ,R$51 a R$100
23/06/2019 13:25:53,Frequentemente,25,Homem,Santa Catarina – SC,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,AMD FX 6300,AMD,Radeon HD 6670,2 GB,Loja virtual,,,"MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",LoL,R$1 a R$50
23/06/2019 13:31:43,Frequentemente,17,Homem,Paraná – PR,Só Estuda,Ensino Médio Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,Ryzen 5,Nvidia,GTX 1050,4 GB,Loja virtual,,,"Mundo Aberto, RPG/MMORPG",World of warcraft ,R$1 a R$50
23/06/2019 13:41:47,Frequentemente,18,Homem,São Paulo – SP,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Amd Fx 8350,Nvidia,Gtx 1050 TI,4 GB,Loja virtual,,,RPG/MMORPG,World of Warcraft ,R$1 a R$50
23/06/2019 14:21:09,Frequentemente,24,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,8 GB,Intel,i5,Nvidia,GTX 1080,2 GB,Loja virtual,,,"ARCADE, FPS/TPS, Luta, RPG/MMORPG, Simulação, Sobrevivência",Final Fantasy,R$101 a R$150
23/06/2019 14:49:03,Frequentemente,13,Homem,São Paulo – SP,Só Estuda,Ensino Fundamental Incompleto,Console (video game),,,,,,,,,XBOX ONE,Loja física,"Esporte, FPS/TPS, Sobrevivência",Rainbow Six Suege,R$51 a R$100
23/06/2019 14:56:44,Frequentemente,22,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,Intel,Intel i7 4790,Nvidia,GTX 970,4 GB,Loja virtual,,,"ARCADE, Aventura, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Sobrevivência, Terror",Tekken,R$51 a R$100
23/06/2019 15:05:01,Frequentemente,38,Mulher,Alagoas – AL,Estuda e Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,16 GB,Intel,i5 4a geraçao...nao lembro o resto,Nvidia,gtx 550,1 GB,Loja virtual,,,"FPS/TPS, RPG/MMORPG",world of warcraft,R$1 a R$50
23/06/2019 16:00:21,Frequentemente,23,Homem,Amazonas – AM,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,AMD,Phenom II x4 970,Nvidia,GTX 960 4GB SSC,4 GB,Loja virtual,,,"Aventura, Mundo Aberto, RPG/MMORPG",World of Warcraft,R$1 a R$50
23/06/2019 16:13:17,Frequentemente,23,Mulher,Mato Grosso do Sul – MS,Não Estuda e Não Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,Intel,i5 8400,Nvidia,1060,3 GB,Loja virtual,,,"MOBA, RPG/MMORPG",Dota 2,Nada
23/06/2019 16:47:48,Frequentemente,31,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Completo,Notebook,Sim,8 GB,Intel,Core i5,Nvidia,GTX 960,8 GB,Loja física,,,"Luta, RPG/MMORPG, Simulação",World of Warcraft,R$1 a R$50
23/06/2019 16:48:48,Frequentemente,21,Homem,Rio Grande do Sul – RS,Só Estuda,Ensino Superior Incompleto,Notebook,Sim,8 GB,Intel,i5-7300HQ,Nvidia,GTX 1050,4 GB,Loja virtual,,,RPG/MMORPG,World of Warcraft,R$1 a R$50
